shortage_id,record_id,branch_id,item_id,item_name,required_qty,needed_by_date,status
SH-00001,RXD-00041,B008,I0003,Item Charlie,1,2026-07-17,Open
SH-00002,RXD-00041,B008,I0001,Item Alpha,1,2026-07-17,Open
SH-00003,RXD-00041,B008,I0008,Item Hotel,3,2026-07-17,Open
SH-00004,RXD-00143,B006,I0004,Item Delta,4,2026-08-18,Open
SH-00005,RXD-00143,B006,I0002,Item Bravo,1,2026-08-18,Open
SH-00006,RXD-00143,B006,I0005,Item Echo,2,2026-08-18,Open
SH-00007,RXD-00179,B006,I0004,Item Delta,3,2026-08-09,Open
SH-00008,RXD-00179,B006,I0001,Item Alpha,4,2026-08-09,Open
SH-00009,RXD-00229,B003,I0003,Item Charlie,4,2026-08-12,Open
SH-00010,RXD-00229,B003,I0011,Item Kilo,1,2026-08-12,Open
SH-00011,RXD-00232,B008,I0001,Item Alpha,1,2026-05-30,Open
SH-00012,RXD-00232,B008,I0006,Item Foxtrot,4,2026-05-30,Open
SH-00013,RXD-00232,B008,I0002,Item Bravo,3,2026-05-30,Open
SH-00014,RXD-00236,B003,I0008,Item Hotel,4,2026-08-06,Open
SH-00015,RXD-00245,B003,I0006,Item Foxtrot,1,2026-07-09,Open
SH-00016,RXD-00245,B003,I0007,Item Golf,3,2026-07-09,Open
SH-00017,RXD-00248,B006,I0012,Item Lima,2,2026-06-04,Open
SH-00018,RXD-00256,B003,I0008,Item Hotel,2,2026-08-25,Open
SH-00019,RXD-00256,B003,I0009,Item India,1,2026-08-25,Open
SH-00020,RXD-00256,B003,I0003,Item Charlie,2,2026-08-25,Open
SH-00021,RXD-00269,B003,I0008,Item Hotel,3,2026-06-30,Open
SH-00022,RXD-00281,B004,I0001,Item Alpha,4,2026-06-28,Open
SH-00023,RXD-00294,B007,I0005,Item Echo,4,2026-08-27,Open
SH-00024,RXD-00294,B007,I0003,Item Charlie,4,2026-08-27,Open
SH-00025,RXD-00302,B003,I0004,Item Delta,1,2026-05-17,Open
SH-00026,RXD-00315,B003,I0012,Item Lima,3,2026-07-06,Open
SH-00027,RXD-00315,B003,I0006,Item Foxtrot,4,2026-07-06,Open
SH-00028,RXD-00340,B002,I0001,Item Alpha,1,2026-08-26,Open
SH-00029,RXD-00340,B002,I0007,Item Golf,2,2026-08-26,Open
SH-00030,RXD-00363,B002,I0007,Item Golf,3,2026-08-03,Open
SH-00031,RXD-00363,B002,I0012,Item Lima,4,2026-08-03,Open
SH-00032,RXD-00392,B006,I0008,Item Hotel,2,2026-07-13,Open
SH-00033,RXD-00392,B006,I0005,Item Echo,4,2026-07-13,Open
SH-00034,RXD-00404,B007,I0003,Item Charlie,4,2026-07-26,Open
SH-00035,RXD-00404,B007,I0006,Item Foxtrot,1,2026-07-26,Open
SH-00036,RXD-00404,B007,I0010,Item Juliet,3,2026-07-26,Open
SH-00037,RXD-00415,B004,I0005,Item Echo,1,2026-08-10,Open
SH-00038,RXD-00415,B004,I0009,Item India,4,2026-08-10,Open
SH-00039,RXD-00446,B006,I0012,Item Lima,1,2026-06-25,Open
SH-00040,RXD-00446,B006,I0006,Item Foxtrot,4,2026-06-25,Open
SH-00041,RXD-00447,B003,I0007,Item Golf,4,2026-07-18,Open
SH-00042,RXD-00447,B003,I0004,Item Delta,1,2026-07-18,Open
SH-00043,RXD-00447,B003,I0003,Item Charlie,4,2026-07-18,Open
SH-00044,RXD-00453,B007,I0004,Item Delta,2,2026-05-20,Open
SH-00045,RXD-00453,B007,I0011,Item Kilo,2,2026-05-20,Open
SH-00046,RXD-00453,B007,I0007,Item Golf,1,2026-05-20,Open
SH-00047,RXD-00488,B004,I0008,Item Hotel,3,2026-09-01,Open
SH-00048,RXD-00492,B001,I0006,Item Foxtrot,3,2026-07-25,Open
SH-00049,RXD-00492,B001,I0002,Item Bravo,2,2026-07-25,Open
