item_id,item_name,branch_id,required_qty,records_affected
I0003,Item Charlie,B003,10,3
I0008,Item Hotel,B003,9,3
I0003,Item Charlie,B007,8,2
I0004,Item Delta,B006,7,2
I0007,Item Golf,B003,7,2
I0005,Item Echo,B006,6,2
I0006,Item Foxtrot,B003,5,2
I0007,Item Golf,B002,5,2
I0001,Item Alpha,B004,4,1
I0001,Item Alpha,B006,4,1
I0005,Item Echo,B007,4,1
I0006,Item Foxtrot,B006,4,1
I0006,Item Foxtrot,B008,4,1
I0009,Item India,B004,4,1
I0012,Item Lima,B002,4,1
I0012,Item Lima,B006,3,2
I0002,Item Bravo,B008,3,1
I0006,Item Foxtrot,B001,3,1
I0008,Item Hotel,B004,3,1
I0008,Item Hotel,B008,3,1
I0010,Item Juliet,B007,3,1
I0012,Item Lima,B003,3,1
I0001,Item Alpha,B008,2,2
I0004,Item Delta,B003,2,2
I0002,Item Bravo,B001,2,1
I0004,Item Delta,B007,2,1
I0008,Item Hotel,B006,2,1
I0011,Item Kilo,B007,2,1
I0001,Item Alpha,B002,1,1
I0002,Item Bravo,B006,1,1
I0003,Item Charlie,B008,1,1
I0005,Item Echo,B004,1,1
I0006,Item Foxtrot,B007,1,1
I0007,Item Golf,B007,1,1
I0009,Item India,B003,1,1
I0011,Item Kilo,B003,1,1
